folder,ENSEIGNE,ville,adresse,CP,ADRESSE ,VILLE,ADRESSE,siret
BON JACQUES (Le) - 75017 - 34 Rue Jouffroy d'ABBANS,LE_ROUERGUE,,,,34 RUE JOUFFROY D'ABBANS,PARIS,34 RUE JOUFFROY D'ABBANS; 75017 PARIS,90834751100010
BOUDOIR (Le) - 75006 PARIS - 202 Bld Saint GERMAIN,LE_BOUDOIR,PARIS,,75006.0,202 BOULEVARD SAINT GERMAIN,PARIS,202 BOULEVARD SAINT GERMAIN; 75007 PARIS,84072367000013
BOULANGERIE - 48 Bld Gouvioon St Cyr - 75017 PARIS,,PARIS,,75017.0,,,,
BOULANGERIE DE L'OLYMPIA,PATISSERIE_DE_L_OLYMPIA,,,,,,,34027633600021
BOULEDOGUE (Le) - 75003 PARIS - 20 Rue RAMBUTEAU,LE_BOULEDOGUE,PARIS,,75003.0,,,,40327792400011
BRASSERIE LOLA - MURS ET FONDS - 75015 PARIS - 99 rue du THÉÂTRE,LOLA,,,,99 RUE DU THÉATRE,PARIS,99 RUE DU THÉATRE; 75015 PARIS,83488996600018
BROOKLYN CAFE - 75017 PARIS - 32 Place Saint FERDINAND,BROOKLYN_CAFE,PARIS,,75017.0,,,,43257006700012
BUISSON D'ARGENT - Rue du Bac - 75007 Paris,LE_BUISSON_D_ARGENT,,,,,Paris,Rue du Bac,56201528900019
CAFE DE L'OLYMPIA - 2 Rue de SÈZE - 75009 PARIS,CAFE_DE_L_OLYMPIA,,,,,PARIS,2 Rue de SÈZE,34027633600013
CAFE DE LA PLACE - 52 Rue de Montreuil - 94 Vincennes,LA_PLACE,,,,,Vincennes,52 Rue de Montreuil,34507812500019
CAFE DU MEXIQUE - 75016 PARIS - 3 Place de MEXICO,BRASSERIE_DU_MEXIQUE,PARIS,,75016.0,,,,91004630900019
CAFE GALLERY - 78 Rue de Provence - 75009 Paris,CAFE_GALLERY_GEORGE_V,,,,,Paris,78 Rue de Provence,43210658100015
CAFÉ DE L'ÉGLISE - 92110 CLICHY - 100 Bld Jean JAURÈS,CAFE_DE_L_EGLISE,CLICHY,,92110.0,1 RUE DU LANDY,CLICHY,1 RUE DU LANDY; 92110 CLICHY,83226626600010
CANTINA - 75016 - CLAUDE TERRASSE - 16,LA_CANTINA,,,,,,,48057007600020
CARRE ELYSÉE - 49 rue Franklin D. Roosevelt - 75008 Paris,LE_PETIT_ELYSEE,,,,,Paris,49 rue Franklin D. Roosevelt,71202157500014
CASA DI MARIO - 75007 PARIS - 132 Rue du BAC,CASA_DI_MARIO,PARIS,,75007.0,132 RUE DU BAC,PARIS,132 RUE DU BAC; 75007 PARIS,53119288800018
CERTAS,,,,,,,,
CHEZ BEBER - 75006 PARIS - 71 Bld du MONTPARNASSE,,PARIS,,75006.0,,,,
CHEZ CLAUDE - 166 Rue SAINT-HONORE - 75001 PARIS,,,,,,,,
